companyShortName,rank,startDateTime,startDateTimeType,surprisePercent,ticker
Sundial Growers Inc.,219886,1585526400000,TNS,-635.14,SNDL
GameStop Corp.,113808,1585180800000,TNS,61.37,GME
BioNTech SE,111675,1585612800000,TNS,-51.16,BNTX
Aphria Inc.,110701,1586822400000,TNS,148.78,APHA
AT&T Inc.,108406,1587513600000,TNS,-0.94,T
CytoDyn Inc.,102327,1586390400000,TNS,-166.67,CYDY
Blink Charging Co.,98785,1585785600000,TNS,-22.22,BLNK
Intel Corporation,97944,1587600000000,TNS,13.46,INTC
Bank of America Corporation,80036,1586908800000,TNS,-13.23,BAC
Wells Fargo & Company,74993,1586822400000,TNS,-96.94,WFC
"Netflix, Inc.",74879,1587427200000,TNS,-4.96,NFLX
"Genius Brands International, Inc.",72840,1585526400000,TNS,,GNUS
"Delta Air Lines, Inc.",71252,1587513600000,TNS,26.72,DAL
Johnson & Johnson,67836,1586822400000,TNS,15.29,JNJ
HEXO Corp.,64423,1585526400000,TNS,-1184.09,HEXO
The Coca-Cola Company,61982,1587427200000,TNS,14.86,KO
Freeport-McMoRan Inc.,59386,1587686400000,TNS,12.09,FCX
"Cocrystal Pharma, Inc.",58525,1585267200000,TNS,28.57,COCP
JPMorgan Chase & Co.,57602,1586822400000,TNS,-57.65,JPM
International Business Machines Corporation,55276,1587340800000,TNS,2.51,IBM
Northern Dynasty Minerals Ltd.,53283,1585526400000,TNS,-300.0,NAK
Citigroup Inc.,52378,1586908800000,TNS,0.57,C
Verizon Communications Inc.,49859,1587686400000,TNS,3.03,VZ
OrganiGram Holdings Inc.,48270,1586822400000,TNS,-64.0,OGI
Taiwan Semiconductor Manufacturing Company Limited,47149,1586995200000,TNS,2.32,TSM
Cronos Group Inc.,46431,1585526400000,TNS,622.58,CRON
GrowGeneration Corp.,46160,1585267200000,TNS,-138.46,GRWG
Snap Inc.,45253,1587427200000,TNS,-6.67,SNAP
"NextEra Energy, Inc.",44745,1587513600000,TNS,5.31,NEE
"Walgreens Boots Alliance, Inc.",43132,1585785600000,TNS,4.25,WBA
"Heat Biologics, Inc.",42590,1585526400000,TNS,30.07,HTBX
The Procter & Gamble Company,42551,1587081600000,TNS,3.36,PG
Oramed Pharmaceuticals Inc.,42191,1586131200000,TNS,-20.0,ORMP
Rite Aid Corporation,41513,1586995200000,TNS,-150.0,RAD
BlackBerry Limited,40034,1585612800000,TNS,119.51,BB
Mind Medicine (MindMed) Inc.,40025,1585526400000,TNS,,MMEDF
"Pacific Ethanol, Inc.",39937,1585180800000,TNS,7.41,PEIX
"Chewy, Inc.",39503,1585785600000,TNS,11.76,CHWY
"Co-Diagnostics, Inc.",38312,1585526400000,TNS,0.0,CODX
"Cassava Sciences, Inc.",37802,1585180800000,TNS,38.46,SAVA
Trulieve Cannabis Corp.,37069,1586304000000,TNS,230.1,TCNNF
NexTech AR Solutions Corp.,36995,1585180800000,TNS,,NEXCF
"The Goldman Sachs Group, Inc.",36575,1586908800000,TNS,-7.27,GS
Planet 13 Holdings Inc.,36196,1586822400000,TNS,,PLNHF
"Titan Pharmaceuticals, Inc.",35993,1585526400000,TNS,0.0,TTNP
Lockheed Martin Corporation,35983,1587427200000,TNS,4.83,LMT
"Sunworks, Inc.",35540,1585526400000,TNS,-1866.67,SUNW
"Kinder Morgan, Inc.",35481,1587513600000,TNS,-12.09,KMI
Canadian Solar Inc.,34956,1585180800000,TNS,151.12,CSIQ
"Arcimoto, Inc.",34459,1586822400000,TNS,-2.56,FUV
Biogen Inc.,34123,1587513600000,TNS,18.19,BIIB
Beam Global,33985,1585526400000,TNS,-180.0,BEEM
Abbott Laboratories,33490,1586995200000,TNS,11.68,ABT
"Village Farms International, Inc.",33431,1585526400000,TNS,-4766.67,VFF
"Limelight Networks, Inc.",32290,1587600000000,TNS,100.0,LLNW
Lululemon Athletica Inc.,32215,1585180800000,TNS,1.83,LULU
MGM Resorts International,32101,1587600000000,TNS,563.28,MGM
UnitedHealth Group Incorporated,31430,1586908800000,TNS,2.59,UNH
Thermo Fisher Scientific Inc.,31105,1587513600000,TNS,5.19,TMO
Telefonaktiebolaget LM Ericsson (publ),30363,1587513600000,TNS,-2.44,ERIC
Platinum Group Metals Ltd.,30296,1586304000000,TNS,,PLG
Philip Morris International Inc.,30192,1587427200000,TNS,7.08,PM
Green Thumb Industries Inc.,29559,1585526400000,TNS,-50.0,GTBIF
FirstEnergy Corp.,29551,1587600000000,TNS,4.6,FE
Schlumberger Limited,29347,1587081600000,TNS,2.46,SLB
Morgan Stanley,29175,1586995200000,TNS,-11.25,MS
RH,29035,1585526400000,TNS,3.62,RH
American Express Company,28968,1587686400000,TNS,-71.25,AXP
"Altimmune, Inc.",28841,1585267200000,TNS,3.85,ALT
"IZEA Worldwide, Inc.",28341,1585526400000,TNS,-75.0,IZEA
"Chipotle Mexican Grill, Inc.",28273,1587427200000,TNS,5.84,CMG
Lam Research Corporation,28004,1587513600000,TNS,0.0,LRCX
"BlackRock, Inc.",27978,1586995200000,TNS,3.76,BLK
ASML Holding N.V.,27799,1586908800000,TNS,-23.7,ASML
Alcoa Corporation,27664,1587513600000,TNS,6.12,AA
"Xilinx, Inc.",27662,1587513600000,TNS,9.33,XLNX
Halliburton Company,27593,1587340800000,TNS,27.57,HAL
Eli Lilly and Company,27442,1587600000000,TNS,18.24,LLY
Bed Bath & Beyond Inc.,26940,1586908800000,TNS,88.12,BBBY
Texas Instruments Incorporated,26360,1587427200000,TNS,23.75,TXN
"Intuitive Surgical, Inc.",26308,1586995200000,TNS,5.74,ISRG
The Blackstone Group Inc.,26304,1587600000000,TNS,-8.0,BX
Aptinyx Inc.,25928,1585526400000,TNS,26.39,APTX
AIM ImmunoTech Inc.,25770,1585526400000,TNS,63.78,AIM
"Cadence Design Systems, Inc.",25740,1587340800000,TNS,10.7,CDNS
SAP SE,25469,1587427200000,TNS,-8.01,SAP
"Genprex, Inc.",25438,1585526400000,TNS,,GNPX
"Ocugen, Inc.",25308,1585267200000,TNS,3050.0,OCGN
Huntington Bancshares Incorporated,25266,1587600000000,TNS,-82.25,HBAN
Harvest Health & Recreation Inc.,25082,1586217600000,TNS,-342.86,HRVSF
Las Vegas Sands Corp.,25051,1587513600000,TNS,-140.0,LVS
"Dave & Buster's Entertainment, Inc.",25049,1585785600000,TNS,15.94,PLAY
"Teradyne, Inc.",24805,1587427200000,TNS,14.03,TER
U.S. Bancorp,24592,1586908800000,TNS,23.5,USB
STMicroelectronics N.V.,24586,1587513600000,TNS,-7.89,STM
"Rekor Systems, Inc.",24572,1585526400000,TNS,,REKR
"Domino's Pizza, Inc.",24545,1587600000000,TNS,32.27,DPZ
Kimberly-Clark Corporation,24516,1587513600000,TNS,7.68,KMB
"Net Element, Inc.",24327,1585526400000,TNS,-353.33,NETE
"Prologis, Inc.",24306,1587427200000,TNS,134.9,PLD
